Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
360100,Paris Junior College,"2,287,333.00","1,143,667.00"
1210500,National Park College,"2,285,507.00","1,142,754.00"
386800,Milwaukee School Of Engineering,"2,285,262.00","1,142,631.00"
471300,Three Rivers College,"2,281,288.00","1,140,644.00"
2110800,California College San Diego,"2,281,144.00","1,140,572.00"
757200,American Musical & Dramatic Academy,"2,278,035.00","1,139,018.00"
353900,Alvin Community College,"2,277,498.00","1,138,749.00"
128200,San Jose City College,"2,274,964.00","1,137,482.00"
234300,College Of Saint Scholastica,"2,274,924.00","1,137,462.00"
2079400,Empire Beauty School,"2,268,234.00","1,134,117.00"
940100,Colorado Christian University,"2,267,714.00","1,133,857.00"
678500,Schenectady County Community College,"2,266,692.00","1,133,346.00"
2260800,Huertas College,"2,262,464.00","1,131,232.00"
4111300,West Hills College Lemoore,"2,260,143.00","1,130,072.00"
296200,Shaw University,"2,258,545.00","1,129,273.00"
933600,Johnston Community College,"2,258,380.00","1,129,190.00"
142400,Wesleyan University,"2,257,086.00","1,128,543.00"
311000,Otterbein University,"2,255,286.00","1,127,643.00"
165700,Midwestern University,"2,255,126.00","1,127,563.00"
769100,Mchenry County College,"2,254,053.00","1,127,027.00"
976500,Three Rivers Community College,"2,253,229.00","1,126,615.00"
376600,Virginia Union University,"2,251,677.00","1,125,839.00"
304500,University Of Findlay (The),"2,250,867.00","1,125,434.00"
317200,Oklahoma State University Institute Of Technology - Okmulgee,"2,248,014.00","1,124,007.00"
229700,Muskegon Community College,"2,247,350.00","1,123,675.00"
382300,West Liberty University,"2,246,663.00","1,123,332.00"
261000,Felician University,"2,243,499.00","1,121,750.00"
1323100,University Of Houston - Victoria,"2,233,006.00","1,116,503.00"
325900,Eastern University,"2,228,030.00","1,114,015.00"
2584400,New England Tractor Trailer Training School Of Massachusetts,"2,226,771.00","1,113,386.00"
305000,John Carroll University,"2,224,405.00","1,112,203.00"
186000,Drake University,"2,224,225.00","1,112,113.00"
704700,Los Angeles Southwest College,"2,222,854.00","1,111,427.00"
220800,Simmons University,"2,222,441.00","1,111,221.00"
107300,Eastern Arizona College,"2,222,272.00","1,111,136.00"
817800,Empire Beauty School,"2,219,238.00","1,109,619.00"
1067400,Texas Tech University Health Sciences Center,"2,217,206.00","1,108,603.00"
859600,West Los Angeles College,"2,215,810.00","1,107,905.00"
189300,Upper Iowa University,"2,210,375.00","1,105,188.00"
308300,University Of Mount Union,"2,209,587.00","1,104,794.00"
149500,Jacksonville University,"2,208,846.00","1,104,423.00"
176900,South Suburban College Of Cook County,"2,208,424.00","1,104,212.00"
2173200,Empire Beauty School,"2,208,217.00","1,104,109.00"
239700,Belhaven University,"2,204,818.00","1,102,409.00"
539000,Blackhawk Technical College,"2,201,888.00","1,100,944.00"
840300,Indian Hills Community College,"2,199,657.00","1,099,829.00"
356000,Dallas Baptist University,"2,198,677.00","1,099,339.00"
253000,Montana State University - Billings,"2,193,195.00","1,096,598.00"
336900,Susquehanna University,"2,191,211.00","1,095,606.00"
308900,Ohio Northern University,"2,189,709.00","1,094,855.00"
242200,Mississippi University For Women,"2,188,061.00","1,094,031.00"
2100200,Brookhaven College,"2,187,307.00","1,093,654.00"
1250000,Ranken Technical College,"2,185,927.00","1,092,964.00"
976400,Tunxis Community College,"2,185,505.00","1,092,753.00"
501900,Universidad Adventista De Las Antillas,"2,178,276.00","1,089,138.00"
295100,North Carolina Wesleyan College,"2,177,353.00","1,088,677.00"
163800,Black Hawk College,"2,172,992.00","1,086,496.00"
169400,Chicago State University,"2,172,014.00","1,086,007.00"
2195800,Liceo De Arte Y Tecnología,"2,168,379.00","1,084,190.00"
111600,Art Center College Of Design,"2,168,231.00","1,084,116.00"
175300,School Of The Art Institute Of Chicago,"2,167,774.00","1,083,887.00"
238200,Saint Olaf College,"2,167,063.00","1,083,532.00"
2180100,Ross Medical Education Center,"2,164,321.00","1,082,161.00"
227300,Hope College,"2,163,878.00","1,081,939.00"
162300,North Idaho College,"2,161,877.00","1,080,939.00"
340200,Bryant University,"2,160,764.00","1,080,382.00"
204000,University Of Maine - Farmington,"2,158,052.00","1,079,026.00"
357000,Grayson College,"2,157,844.00","1,078,922.00"
2157100,Concorde Career College,"2,155,995.00","1,077,998.00"
148600,Florida Memorial University,"2,154,643.00","1,077,322.00"
1216500,Atlanta Metropolitan  State College,"2,149,954.00","1,074,977.00"
2559400,Intercoast Colleges,"2,149,757.00","1,074,879.00"
121500,La Sierra University,"2,144,179.00","1,072,090.00"
165400,City Colleges Of Chicago - Kennedy King College,"2,144,024.00","1,072,012.00"
110300,Philander Smith College,"2,143,674.00","1,071,837.00"
344100,North Greenville University,"2,143,104.00","1,071,552.00"
109100,Arkansas State University - Beebe,"2,141,764.00","1,070,882.00"
266500,Vaughn College Of Aeronautics And Technology,"2,140,817.00","1,070,409.00"
138500,Fairfield University,"2,137,358.00","1,068,679.00"
3367400,Community Care College,"2,135,245.00","1,067,623.00"
354600,Coastal Bend College,"2,133,542.00","1,066,771.00"
292600,Elizabeth City State University,"2,130,978.00","1,065,489.00"
1167800,State University Of New York Polytechnic Institute,"2,129,510.00","1,064,755.00"
124700,Napa Valley College,"2,125,082.00","1,062,541.00"
230200,Northwestern Michigan College,"2,124,216.00","1,062,108.00"
525400,Lanier Technical College,"2,122,657.00","1,061,329.00"
348000,Bethel University,"2,121,073.00","1,060,537.00"
1085800,Avalon School Of Cosmetology,"2,120,430.00","1,060,215.00"
220900,Smith College,"2,119,895.00","1,059,948.00"
317900,Southeastern Oklahoma State University,"2,118,149.00","1,059,075.00"
359600,Odessa College,"2,118,029.00","1,059,015.00"
277900,Nazareth College Of Rochester,"2,117,252.00","1,058,626.00"
561900,North Georgia Technical College,"2,114,032.00","1,057,016.00"
152200,South Florida State College,"2,111,445.00","1,055,723.00"
329800,Messiah College,"2,106,740.00","1,053,370.00"
2146600,South Mountain Community College,"2,098,614.00","1,049,307.00"
2278800,Southern Technical College,"2,097,167.00","1,048,584.00"
266800,Alfred University,"2,093,987.00","1,046,994.00"
3083800,Heartland Community College,"2,092,953.00","1,046,477.00"
341800,Anderson University,"2,092,286.00","1,046,143.00"
4177100,Pima Medical Institute,"2,092,022.00","1,046,011.00"
163300,Augustana College,"2,091,818.00","1,045,909.00"
134600,Arapahoe Community College,"2,079,610.00","1,039,805.00"
359800,Our Lady Of The Lake University,"2,078,279.00","1,039,140.00"
210400,"University Of Maryland, Baltimore","2,077,903.00","1,038,952.00"
161900,College Of Southern Idaho,"2,076,917.00","1,038,459.00"
345000,University Of South Carolina - Beaufort,"2,075,254.00","1,037,627.00"
372400,Marymount University,"2,074,937.00","1,037,469.00"
104600,Talladega College,"2,069,544.00","1,034,772.00"
569700,Northwest - Shoals Community College,"2,069,470.00","1,034,735.00"
2334400,Centura College,"2,069,211.00","1,034,606.00"
454900,Leeward Community College,"2,067,889.00","1,033,945.00"
3544300,Atenas College,"2,067,059.00","1,033,530.00"
106300,University Of Alaska Fairbanks,"2,066,651.00","1,033,326.00"
267100,Bard College,"2,064,786.00","1,032,393.00"
214800,Endicott College,"2,063,007.00","1,031,504.00"
1002000,Lewis And Clark Community College,"2,062,380.00","1,031,190.00"
201200,Louisiana State University At Eunice,"2,060,199.00","1,030,100.00"
381000,Concord University,"2,057,014.00","1,028,507.00"
188900,Saint Ambrose University,"2,054,932.00","1,027,466.00"
675600,Northshore Technical Community College,"2,051,300.00","1,025,650.00"
118100,College Of San Mateo,"2,042,860.00","1,021,430.00"
373700,Shenandoah University,"2,040,202.00","1,020,101.00"
235300,Gustavus Adolphus College,"2,036,930.00","1,018,465.00"
296100,Sandhills Community College,"2,033,057.00","1,016,529.00"
277700,Medaille College,"2,028,538.00","1,014,269.00"
259800,Caldwell University,"2,028,129.00","1,014,065.00"
330100,Moravian College,"2,025,895.00","1,012,948.00"
2338500,Glendale Career College,"2,025,197.00","1,012,599.00"
327500,Holy Family University,"2,023,957.00","1,011,979.00"
178100,Wheaton College,"2,023,744.00","1,011,872.00"
731600,Western Iowa Tech Community College,"2,023,618.00","1,011,809.00"
161300,Kapiolani Community College,"2,022,941.00","1,011,471.00"
329600,Marywood University,"2,020,450.00","1,010,225.00"
133800,West Valley College,"2,016,079.00","1,008,040.00"
1260600,Empire Beauty School,"2,008,780.00","1,004,390.00"
324100,Cabrini University,"2,005,185.00","1,002,593.00"
369200,Norwich University,"2,004,614.00","1,002,307.00"
1056700,Colegio Universitario De San Juan,"2,002,902.00","1,001,451.00"
201100,Louisiana State University At Alexandria,"1,998,555.00","999,278.00"
216000,Lesley University,"1,997,859.00","998,930.00"
681500,Orangeburg - Calhoun Technical College,"1,996,646.00","998,323.00"
495100,University Of Texas Health Science Center At Houston,"1,995,703.00","997,852.00"
546400,Richmond Community College,"1,993,968.00","996,984.00"
696000,Maysville Community And Technical College,"1,992,396.00","996,198.00"
227600,Kellogg Community College,"1,991,422.00","995,711.00"
966400,Empire Beauty School,"1,988,069.00","994,035.00"
248600,Mineral Area College,"1,986,137.00","993,069.00"
352800,Union University,"1,984,881.00","992,441.00"
365400,University Of Saint Thomas,"1,984,472.00","992,236.00"
323300,Alvernia University,"1,983,784.00","991,892.00"
274400,Keuka College,"1,981,704.00","990,852.00"
162100,Lewis-Clark State College,"1,979,771.00","989,886.00"
312100,Tiffin University,"1,977,210.00","988,605.00"
1242500,Stone Academy,"1,976,921.00","988,461.00"
372000,University Of Lynchburg,"1,975,980.00","987,990.00"
316200,Northern Oklahoma College,"1,971,017.00","985,509.00"
211400,American International College,"1,970,878.00","985,439.00"
399900,Cleveland State Community College,"1,970,716.00","985,358.00"
222400,Wellesley College,"1,970,468.00","985,234.00"
328200,Kings College,"1,968,517.00","984,259.00"
938700,Perry Technical Institute,"1,967,635.00","983,818.00"
2246300,Ross Medical Education Center,"1,965,598.00","982,799.00"
2119100,Mission College,"1,961,952.00","980,976.00"
146000,Trinity Washington University,"1,960,751.00","980,376.00"
3022400,College Of The Marshall Islands,"1,956,673.00","978,337.00"
3751300,Escuela Hotelera De San Juan,"1,955,007.00","977,504.00"
525200,Ridgewater College,"1,950,916.00","975,458.00"
3035900,National Aviation Academy,"1,950,415.00","975,208.00"
323800,Bucknell University,"1,946,454.00","973,227.00"
294100,Lenoir-Rhyne University,"1,941,090.00","970,545.00"
213900,Clark University,"1,940,791.00","970,396.00"
286300,Corning Community College - Suny Office Of Community Colleges,"1,937,448.00","968,724.00"
150500,Lynn University,"1,935,875.00","967,938.00"
529400,Waukesha County Technical College,"1,935,258.00","967,629.00"
316000,Northeastern Oklahoma A & M College,"1,934,724.00","967,362.00"
214300,Curry College,"1,934,414.00","967,207.00"
316400,Oklahoma Baptist University,"1,934,138.00","967,069.00"
357100,Hardin-Simmons University,"1,934,006.00","967,003.00"
1186400,Mohave Community College,"1,933,935.00","966,968.00"
927200,Crafton Hills College,"1,933,930.00","966,965.00"
368800,Northern Vermont University,"1,932,341.00","966,171.00"
332400,Mansfield University Of Pennsylvania,"1,932,117.00","966,059.00"
1111200,Fashion Institute Of Design & Merchandising,"1,931,729.00","965,865.00"
1235800,Plaza College,"1,926,657.00","963,329.00"
945900,Empire Beauty School,"1,925,983.00","962,992.00"
294600,Methodist University,"1,925,342.00","962,671.00"
348500,Cumberland University,"1,920,642.00","960,321.00"
214100,College Of The Holy Cross,"1,919,146.00","959,573.00"
231000,St. Clair County Community College,"1,909,478.00","954,739.00"
103100,Northeast Alabama Community College,"1,901,781.00","950,891.00"
368100,Westminster College,"1,897,239.00","948,620.00"
199000,Ashland Community And Technical College,"1,897,125.00","948,563.00"
573400,H. Councill Trenholm State Community College,"1,892,834.00","946,417.00"
992800,Piedmont Virginia Community College,"1,892,438.00","946,219.00"
183200,University Of Saint Francis,"1,891,129.00","945,565.00"
2218800,Brookline College,"1,890,270.00","945,135.00"
363700,Jarvis Christian College,"1,888,040.00","944,020.00"
751800,Apex Technical School,"1,885,989.00","942,995.00"
328300,Lackawanna College,"1,885,348.00","942,674.00"
324000,Butler County Community College,"1,882,832.00","941,416.00"
129300,Vanguard University Of Southern California,"1,879,831.00","939,916.00"
727900,Hawaii Pacific University,"1,879,700.00","939,850.00"
134200,Whittier College,"1,879,550.00","939,775.00"
166600,Concordia University,"1,875,573.00","937,787.00"
553700,South Central College,"1,873,482.00","936,741.00"
280800,Daemen College,"1,872,946.00","936,473.00"
298000,Wayne Community College,"1,871,243.00","935,622.00"
561700,South Georgia Technical College,"1,870,108.00","935,054.00"
325200,Delaware Valley University,"1,867,829.00","933,915.00"
791200,Thaddeus Stevens College Of Technology,"1,866,667.00","933,334.00"
486600,Stautzenberger College,"1,866,592.00","933,296.00"
357200,Trinity Valley Community College,"1,865,240.00","932,620.00"
369100,Middlebury College,"1,862,094.00","931,047.00"
681900,Blue Ridge Community College,"1,862,031.00","931,016.00"
970600,South Seattle College,"1,861,609.00","930,805.00"
524500,University Of Arkansas Community College At Morrilton,"1,861,056.00","930,528.00"
2073900,Wor-Wic Community College,"1,860,894.00","930,447.00"
364500,Texas Wesleyan University,"1,857,910.00","928,955.00"
207100,Frederick Community College,"1,851,890.00","925,945.00"
246300,Evangel University,"1,850,723.00","925,362.00"
172700,Moody Bible Institute,"1,848,490.00","924,245.00"
157300,Georgia Southwestern State University,"1,848,045.00","924,023.00"
398600,Desales University,"1,846,942.00","923,471.00"
678800,Tompkins Cortland Community College,"1,845,177.00","922,589.00"
2242700,Berkeley City College,"1,844,524.00","922,262.00"
993000,University Of Texas Of The Permian Basin,"1,840,016.00","920,008.00"
3033000,Northern Marianas College,"1,839,331.00","919,666.00"
3627300,Lamar Institute Of Technology,"1,836,301.00","918,151.00"
289500,Vassar College,"1,835,621.00","917,811.00"
458700,Northeast Iowa Community College,"1,835,580.00","917,790.00"
499900,Bellingham Technical College,"1,833,051.00","916,526.00"
313500,Walsh University,"1,831,514.00","915,757.00"
223500,Albion College,"1,831,231.00","915,616.00"
559600,Emily Griffith Technical College,"1,828,725.00","914,363.00"
319700,Lewis & Clark College,"1,827,087.00","913,544.00"
201300,Louisiana State University In Shreveport,"1,825,886.00","912,943.00"
335000,University Of The Arts (The),"1,825,665.00","912,833.00"
292900,Gardner - Webb University,"1,825,407.00","912,704.00"
1005600,Aiken Technical College,"1,824,100.00","912,050.00"
3426300,College Of Health Care Professions (The),"1,823,842.00","911,921.00"
2093700,Long Island Business Institute,"1,821,234.00","910,617.00"
498800,Central Virginia Community College,"1,817,818.00","908,909.00"
355300,Cisco College,"1,817,547.00","908,774.00"
314900,Southern Nazarene University,"1,815,175.00","907,588.00"
378200,Lower Columbia College,"1,810,047.00","905,024.00"
277800,Mount Saint Mary College,"1,809,886.00","904,943.00"
199600,Big Sandy Community And Technical College,"1,809,773.00","904,887.00"
282900,St. Lawrence University,"1,808,349.00","904,175.00"
321100,Oregon Institute Of Technology,"1,807,273.00","903,637.00"
258100,Nhti - Concord'S Community College,"1,806,576.00","903,288.00"
3639300,West Coast Ultrasound Institute,"1,805,882.00","902,941.00"
186700,Grand View University,"1,805,328.00","902,664.00"
182100,Marian University,"1,805,271.00","902,636.00"
183900,Trine University,"1,800,977.00","900,489.00"
370400,Bridgewater College,"1,799,980.00","899,990.00"
527300,Gateway Community And Technical College,"1,797,783.00","898,892.00"
970400,North Seattle College,"1,795,310.00","897,655.00"
2127400,Yti Career Institute,"1,793,845.00","896,923.00"
3120300,Collegeamerica - Flagstaff,"1,792,797.00","896,399.00"
3034500,Owensboro Community & Technical College,"1,789,723.00","894,862.00"
1168900,Refrigeration School (The),"1,786,314.00","893,157.00"
315300,Connors State College,"1,785,542.00","892,771.00"
362500,Sul Ross State University,"1,779,991.00","889,996.00"
373600,Roanoke College,"1,777,599.00","888,800.00"
121800,Loma Linda University,"1,777,517.00","888,759.00"
3903500,Southern Technical College,"1,776,085.00","888,043.00"
217100,Massachusetts Bay Community College,"1,775,751.00","887,876.00"
327200,Harcum College,"1,774,344.00","887,172.00"
271200,D'Youville College,"1,773,370.00","886,685.00"
279000,Nyack College,"1,773,064.00","886,532.00"
776400,Southeast Technical Institute,"1,770,458.00","885,229.00"
459500,Hawkeye Community College,"1,769,048.00","884,524.00"
530900,Lake Area Technical Institute,"1,768,161.00","884,081.00"
709600,College Of The Mainland,"1,767,883.00","883,942.00"
158800,Piedmont College,"1,766,322.00","883,161.00"
304200,Denison University,"1,766,023.00","883,012.00"
212100,Babson College,"1,761,990.00","880,995.00"
551100,Coastal Pines Technical College,"1,758,137.00","879,069.00"
398800,Neumann University,"1,758,118.00","879,059.00"
575700,Lake Superior College,"1,757,151.00","878,576.00"
483500,Caldwell Community College & Technical Institute,"1,753,469.00","876,735.00"
382800,West Virginia University - Parkersburg,"1,753,087.00","876,544.00"
223400,Adrian College,"1,752,186.00","876,093.00"
303000,Ohio Christian University,"1,748,170.00","874,085.00"
1302900,Boricua College,"1,744,981.00","872,491.00"
323000,Allegheny College,"1,743,082.00","871,541.00"
4118800,New York Film Academy,"1,739,271.00","869,636.00"
383200,Alverno College,"1,738,517.00","869,259.00"
933300,University Of Illinois At Springfield,"1,731,887.00","865,944.00"
1166700,Northeast Community College,"1,729,207.00","864,604.00"
314300,Wittenberg University,"1,728,770.00","864,385.00"
260300,Drew University,"1,727,427.00","863,714.00"
487800,Clackamas Community College,"1,724,926.00","862,463.00"
2070500,Concordia University,"1,723,598.00","861,799.00"
276000,Manhattanville College,"1,721,825.00","860,913.00"
352600,Trevecca Nazarene University,"1,718,898.00","859,449.00"
974000,Inver Hills Community College,"1,718,868.00","859,434.00"
1043400,Renton Technical College,"1,717,551.00","858,776.00"
531100,Tulsa Technology Center School District No. 18,"1,717,200.00","858,600.00"
311600,University Of Rio Grande,"1,717,045.00","858,523.00"
341100,Salve Regina University,"1,715,409.00","857,705.00"
394600,University Of The Virgin Islands,"1,713,737.00","856,869.00"
281000,Sage Colleges,"1,712,646.00","856,323.00"
270800,Barnard College,"1,712,643.00","856,322.00"
294400,Mars Hill University,"1,707,699.00","853,850.00"
276900,Marymount Manhattan College,"1,701,441.00","850,721.00"
265300,New Mexico Highlands University,"1,699,974.00","849,987.00"
450600,Colorado Mountain College,"1,694,667.00","847,334.00"
326500,Franklin & Marshall College,"1,692,121.00","846,061.00"
976900,Metropolitan College Of New York,"1,690,962.00","845,481.00"
260800,Georgian Court University,"1,690,335.00","845,168.00"
3123900,Southeastern College,"1,689,659.00","844,830.00"
271300,Dominican College Of Blauvelt,"1,684,221.00","842,111.00"
530600,Bates Technical College,"1,684,098.00","842,049.00"
293100,Guilford College,"1,682,787.00","841,394.00"
285100,Suny College Of Environment Science & Forestry,"1,681,739.00","840,870.00"
179500,University Of Evansville,"1,681,651.00","840,826.00"
366200,Victoria College,"1,680,905.00","840,453.00"
208600,Mount Saint Mary'S University,"1,678,019.00","839,010.00"
866100,Southside Virginia Community College,"1,677,846.00","838,923.00"
2074800,Life University,"1,677,181.00","838,591.00"
1193000,Roxbury Community College,"1,677,144.00","838,572.00"
253100,Montana Technological University,"1,676,199.00","838,100.00"
294500,Meredith College,"1,674,515.00","837,258.00"
371100,Ferrum College,"1,673,615.00","836,808.00"
327000,Gwynedd Mercy University,"1,673,075.00","836,538.00"
979700,Midland College,"1,673,002.00","836,501.00"
726000,Southwest Virginia Community College,"1,671,535.00","835,768.00"
193700,Ottawa University,"1,667,633.00","833,817.00"
887100,Concorde Career College,"1,667,137.00","833,569.00"
364700,Trinity University,"1,665,507.00","832,754.00"
238000,Saint Mary'S University Of Minnesota,"1,661,096.00","830,548.00"
350100,Lemoyne - Owen College,"1,660,276.00","830,138.00"
522300,New River Community College,"1,658,163.00","829,082.00"
343400,Furman University,"1,656,467.00","828,234.00"
326800,Gettysburg College,"1,656,033.00","828,017.00"
214700,Emmanuel College,"1,651,975.00","825,988.00"
886200,East Central College,"1,651,321.00","825,661.00"
382600,West Virginia State University,"1,650,103.00","825,052.00"
215800,Lasell University,"1,647,941.00","823,971.00"
1218200,Chattahoochee Valley Community College,"1,645,716.00","822,858.00"
212300,Becker College,"1,645,170.00","822,585.00"
237500,Southwest Minnesota State University,"1,644,234.00","822,117.00"
2052200,Black River Technical College,"1,643,629.00","821,815.00"
144300,Gallaudet University,"1,642,996.00","821,498.00"
754900,Coyne College,"1,641,135.00","820,568.00"
281400,Skidmore College,"1,640,633.00","820,317.00"
861200,Robeson Community College,"1,637,622.00","818,811.00"
172200,Mckendree University,"1,636,302.00","818,151.00"
270100,Colgate University,"1,636,002.00","818,001.00"
286700,Suny Fulton-Montgomery Community College,"1,635,420.00","817,710.00"
357700,Huston - Tillotson University,"1,630,192.00","815,096.00"
210900,Mcdaniel College,"1,629,536.00","814,768.00"
4143800,Woodland Community College,"1,623,074.00","811,537.00"
3030000,Ogeechee Technical College,"1,622,353.00","811,177.00"
740100,Mandl School,"1,620,451.00","810,226.00"
330400,Muhlenberg College,"1,619,907.00","809,954.00"
316500,Oklahoma Christian University,"1,619,172.00","809,586.00"
1001000,American Samoa Community College,"1,617,885.00","808,943.00"
199800,Southeast Kentucky Community And Technical College,"1,616,993.00","808,497.00"
3427500,University Of Antelope Valley,"1,613,796.00","806,898.00"
336800,Saint Vincent College & Seminary,"1,605,435.00","802,718.00"
303600,Franciscan University Of Steubenville,"1,604,718.00","802,359.00"
375800,Danville Community College,"1,604,222.00","802,111.00"
310900,Ohio Wesleyan University,"1,602,505.00","801,253.00"
2542300,National Holistic Institute,"1,602,448.00","801,224.00"
229300,Lake Superior State University,"1,602,263.00","801,132.00"
348200,Christian Brothers University,"1,600,690.00","800,345.00"
1092200,University Of Puerto Rico - Utuado,"1,600,359.00","800,180.00"
308400,Muskingum University,"1,596,789.00","798,395.00"
389200,Saint Norbert College,"1,595,105.00","797,553.00"
344000,Newberry College,"1,592,676.00","796,338.00"
281700,St. Bonaventure University,"1,592,629.00","796,315.00"
234600,Concordia College - Moorhead,"1,590,356.00","795,178.00"
155400,Berry College,"1,589,811.00","794,906.00"
341700,Allen University,"1,589,675.00","794,838.00"
219200,Mount Holyoke College,"1,588,803.00","794,402.00"
234700,Concordia University - Saint Paul,"1,588,736.00","794,368.00"
2343600,Institute Of Beauty Careers,"1,583,438.00","791,719.00"
231800,Spring Arbor University,"1,581,268.00","790,634.00"
1014800,Colorado Technical University,"1,581,179.00","790,590.00"
2583000,Gwinnett College,"1,577,669.00","788,835.00"
207300,Goucher College,"1,575,324.00","787,662.00"
324500,Chestnut Hill College,"1,574,651.00","787,326.00"
211500,Amherst College,"1,574,582.00","787,291.00"
179200,Depauw University,"1,574,528.00","787,264.00"
103300,Oakwood University,"1,573,749.00","786,875.00"
234100,College Of Saint Benedict,"1,572,552.00","786,276.00"
273100,Hobart And William Smith Colleges,"1,571,579.00","785,790.00"
134500,Adams State University,"1,568,914.00","784,457.00"
754000,Missouri Baptist University,"1,567,808.00","783,904.00"
3091300,Regent University,"1,567,327.00","783,664.00"
198000,University Of Pikeville,"1,566,531.00","783,266.00"
222900,Williams College,"1,564,588.00","782,294.00"
178500,Anderson University,"1,564,159.00","782,080.00"
148700,Eckerd College,"1,561,944.00","780,972.00"
2166100,Elaine P. Nunez Community College,"1,561,099.00","780,550.00"
537300,Lake Washington Institute Of Technology,"1,558,088.00","779,044.00"
111900,Barstow Community College,"1,556,808.00","778,404.00"
356400,East Texas Baptist University,"1,556,715.00","778,358.00"
4162500,Hollywood Institute Of Beauty Careers,"1,554,527.00","777,264.00"
257900,New England College,"1,554,133.00","777,067.00"
180000,Grace College And Theological Seminary,"1,551,701.00","775,851.00"
266400,Western New Mexico University,"1,551,426.00","775,713.00"
170600,Lake Forest College,"1,546,268.00","773,134.00"
231600,Siena Heights University,"1,545,879.00","772,940.00"
365900,University Of Texas Health Science Center At San Antonio,"1,545,801.00","772,901.00"
768400,Kishwaukee College,"1,545,526.00","772,763.00"
166400,University Of St. Francis,"1,539,673.00","769,837.00"
254400,Doane University,"1,538,922.00","769,461.00"
366900,Wiley College,"1,538,638.00","769,319.00"
316600,Oklahoma City University,"1,536,667.00","768,334.00"
3948300,Harrisburg University Of Science And Technology,"1,536,586.00","768,293.00"
324700,Misericordia  University,"1,536,398.00","768,199.00"
299200,University Of Mary,"1,536,188.00","768,094.00"
3113600,Southern California Institute Of Technology,"1,535,401.00","767,701.00"
295700,Queens University Of Charlotte,"1,532,289.00","766,145.00"
538000,Mid-State Technical College,"1,528,012.00","764,006.00"
185400,Coe College,"1,525,647.00","762,824.00"
3170300,Texas A & M University - Texarkana,"1,525,001.00","762,501.00"
381600,Southern West Virginia Community And Technical College,"1,523,218.00","761,609.00"
231700,Southwestern Michigan College,"1,522,115.00","761,058.00"
478800,Herkimer County Community College - Suny Office Of Community Colleges,"1,522,074.00","761,037.00"
2361600,Concorde Career College,"1,519,727.00","759,864.00"
228200,Madonna University,"1,517,426.00","758,713.00"
345900,Black Hills State University,"1,514,973.00","757,487.00"
314200,Wilmington College,"1,514,460.00","757,230.00"
226600,Cornerstone University,"1,514,292.00","757,146.00"
355700,Concordia University Texas,"1,512,530.00","756,265.00"
182000,Manchester University,"1,511,452.00","755,726.00"
218000,Massachusetts College Of Art And Design,"1,510,265.00","755,133.00"
679900,Craven Community College,"1,509,343.00","754,672.00"
322700,Willamette University,"1,509,234.00","754,617.00"
372600,American National University,"1,508,237.00","754,119.00"
360000,Panola College,"1,507,332.00","753,666.00"
316300,Northwestern Oklahoma State University,"1,506,494.00","753,247.00"
1182400,Wisconsin Indianhead Technical College,"1,505,393.00","752,697.00"
2357600,Navajo Technical University,"1,503,703.00","751,852.00"
925900,Laramie County Community College,"1,502,654.00","751,327.00"
221700,Stonehill College,"1,498,782.00","749,391.00"
150100,Florida Gateway College,"1,498,341.00","749,171.00"
3006300,Ibmc College,"1,497,661.00","748,831.00"
1162100,Automotive Training Center,"1,497,626.00","748,813.00"
126700,Merritt College,"1,497,283.00","748,642.00"
2185400,Saint Augustine College,"1,496,982.00","748,491.00"
683500,Dyersburg State Community College,"1,495,222.00","747,611.00"
205700,Allegany College Of Maryland,"1,494,165.00","747,083.00"
143300,Wesley College,"1,494,069.00","747,035.00"
352700,Tusculum University,"1,493,995.00","746,998.00"
376700,Virginia Wesleyan University,"1,493,207.00","746,604.00"
392500,University Of Wisconsin - Superior,"1,488,367.00","744,184.00"
289900,Wagner College,"1,488,258.00","744,129.00"
243900,Tougaloo College,"1,487,317.00","743,659.00"
128100,William Jessup University,"1,486,736.00","743,368.00"
190000,William Penn University,"1,485,340.00","742,670.00"
211800,Assumption College,"1,485,031.00","742,516.00"
235800,Macalester College,"1,483,970.00","741,985.00"
375100,Patrick Henry Community College,"1,483,723.00","741,862.00"
160500,Chaminade University Of Honolulu,"1,482,800.00","741,400.00"
2230500,Ogle School Hair Skin Nails,"1,482,600.00","741,300.00"
538700,Northcentral Technical College,"1,482,377.00","741,189.00"
343900,Morris College,"1,481,212.00","740,606.00"
1116700,Community College Of Vermont,"1,480,650.00","740,325.00"
377200,Centralia College,"1,477,765.00","738,883.00"
335300,University Of The Sciences In Philadelphia,"1,475,914.00","737,957.00"
124900,Occidental College,"1,474,674.00","737,337.00"
377000,Big Bend Community College,"1,473,837.00","736,919.00"
4228100,High Desert Medical College,"1,472,341.00","736,171.00"
154000,Webber International University,"1,470,540.00","735,270.00"
1040200,Dakota County Technical College,"1,467,178.00","733,589.00"
340900,Rhode Island School Of Design,"1,464,915.00","732,458.00"
227900,Lawrence Technological University,"1,462,382.00","731,191.00"
308600,Oberlin College,"1,457,347.00","728,674.00"
226200,Kettering University,"1,457,033.00","728,517.00"
347000,South Dakota School Of Mines & Technology,"1,455,698.00","727,849.00"
